Date,Time,Exercise,# of Reps,Weight,Notes
4/20/2023,6:11,Leg Curl,8,205,
4/20/2023,6:11,Leg Curl,7,205,
4/20/2023,6:11,Leg Curl,5,145,
3/21/2023,11:13,Flyes,12,130,
3/21/2023,11:13,Flyes,12,130,
3/21/2023,11:13,Flyes,12,130,
3/21/2023,11:13,Flyes,12,130,
3/21/2023,11:13,Flyes,10,145,
3/21/2023,11:13,Flyes,9,145,
3/21/2023,11:13,Flyes,9,145,
3/21/2023,11:13,Flyes,6,145,
3/21/2023,11:00,Leg Extension,12,100,
3/21/2023,11:00,Leg Extension,15,100,
3/21/2023,11:00,Leg Extension,15,115,
3/21/2023,11:00,Leg Extension,15,115,
3/21/2023,11:00,Leg Extension,14,130,
3/21/2023,11:00,Leg Extension,13,145,
3/21/2023,11:00,Leg Extension,12,160,
3/21/2023,11:00,Leg Extension,11,175,
3/21/2023,11:00,Leg Extension,10,190,
3/21/2023,11:00,Leg Extension,10,190,
3/21/2023,10:36,Leg Curl,12,100,
3/21/2023,10:36,Leg Curl,12,100,
3/21/2023,10:36,Leg Curl,12,115,
3/21/2023,10:36,Leg Curl,12,130,
3/21/2023,10:36,Leg Curl,12,145,
3/21/2023,10:36,Leg Curl,10,160,
3/21/2023,10:36,Leg Curl,10,175,
3/21/2023,10:36,Leg Curl,7,190,
3/21/2023,10:36,Leg Curl,10,190,
3/21/2023,10:36,Leg Curl,4,205,
3/21/2023,10:36,Leg Curl,11,145,
3/21/2023,10:05,Triceps Extension,15,50,
3/21/2023,10:05,Triceps Extension,20,50,
3/21/2023,10:05,Triceps Extension,18,57.5,
3/21/2023,10:05,Triceps Extension,15,57.5,
3/21/2023,10:05,Triceps Extension,15,57.5,
3/21/2023,10:05,Triceps Extension,12,65,
3/21/2023,10:05,Triceps Extension,10,65,
3/21/2023,10:05,Triceps Extension,10,65,
3/21/2023,10:05,Triceps Extension,10,65,
3/21/2023,10:05,Triceps Extension,8,80,
3/21/2023,10:00,Biceps Curl,12,100,
3/21/2023,10:00,Biceps Curl,12,100,
3/21/2023,10:00,Biceps Curl,10,115,
3/21/2023,10:00,Biceps Curl,9,115,
3/21/2023,10:00,Biceps Curl,10,115,
3/21/2023,10:00,Biceps Curl,9,130,
3/21/2023,10:00,Biceps Curl,8,130,
3/21/2023,10:00,Biceps Curl,6,130,
3/21/2023,10:00,Biceps Curl,8,100,
3/18/2023,12:26,Flyes,14,130,
3/18/2023,12:26,Flyes,14,130,
3/18/2023,12:26,Flyes,10,130,
3/18/2023,12:26,Flyes,10,130,
3/18/2023,12:26,Flyes,10,145,
3/18/2023,12:26,Flyes,8,145,
3/18/2023,12:26,Flyes,8,145,
3/18/2023,12:26,Flyes,8,145,
3/18/2023,12:24,Triceps Extension,12,85,
3/18/2023,12:24,Triceps Extension,12,85,
3/18/2023,12:24,Triceps Extension,15,85,
3/18/2023,12:24,Triceps Extension,15,85,
3/18/2023,12:24,Triceps Extension,16,85,
3/18/2023,12:24,Triceps Extension,10,100,
3/18/2023,12:24,Triceps Extension,15,100,
3/18/2023,12:24,Triceps Extension,10,115,
3/18/2023,12:24,Triceps Extension,10,115,
3/18/2023,12:04,Shoulder Shrug,15,80,
3/18/2023,12:04,Shoulder Shrug,15,80,
3/18/2023,12:04,Shoulder Shrug,15,80,
3/18/2023,12:04,Shoulder Shrug,12,110,
3/18/2023,12:04,Shoulder Shrug,12,110,
3/18/2023,12:04,Shoulder Shrug,10,130,
3/18/2023,12:04,Shoulder Shrug,10,130,
3/18/2023,12:04,Shoulder Shrug,10,150,
3/18/2023,12:04,Shoulder Shrug,10,150,
3/18/2023,12:04,Shoulder Shrug,8,170,
3/18/2023,12:04,Shoulder Shrug,8,170,
3/18/2023,11:47,Pulldown,12,120,
3/18/2023,11:47,Pulldown,10,120,
3/18/2023,11:47,Pulldown,8,140,
3/18/2023,11:47,Pulldown,10,140,
3/18/2023,11:47,Pulldown,10,120,
3/18/2023,11:47,Pulldown,10,120,
3/18/2023,11:47,Pulldown,10,120,
3/18/2023,11:28,Seated Calf Raise,25,205,
3/18/2023,11:28,Seated Calf Raise,25,205,
3/18/2023,11:28,Seated Calf Raise,20,220,
3/18/2023,11:28,Seated Calf Raise,19,220,
3/18/2023,11:28,Seated Calf Raise,16,235,
3/18/2023,11:28,Seated Calf Raise,18,235,
3/18/2023,11:28,Seated Calf Raise,15,250,
3/18/2023,11:28,Seated Calf Raise,20,250,
3/18/2023,11:28,Seated Calf Raise,18,265,
3/18/2023,11:28,Seated Calf Raise,17,280,
3/15/2023,14:26,Pulldown,12,100,
3/15/2023,14:26,Pulldown,12,100,
3/15/2023,14:26,Pulldown,10,140,
3/15/2023,14:26,Pulldown,10,140,
3/15/2023,14:26,Pulldown,8,180,
3/15/2023,14:26,Pulldown,8,180,
3/15/2023,14:26,Pulldown,6,200,
